"Proteins","Genes","ProT50_Frontal_Cortex","ProT50_Cerebellum","ProT50_Thalamus","ProT50_Amygdala","ProT50_Striatum","ProT50_Substantia_Nigra","ProT50_Olfactory_Bulb","ProT50_Entorhinal_Cortex","ProT50_Liver","ProT50_Kidney","ProT50_Spleen","ProT50_Lung","ProT50_Heart","ProT50_Gut"
"Q8C0J2","Atg16l1",2.1050200398306,2.37171022822971,2.44884684699338,2.17907868355186,2.2976368318101,2.3961675973717,2.28095817099705,2.14835766707198,NA,-0.801882530932883,NA,0.658824756266609,0.199534674073915,1.67204231114694
"Q8C2E7","Washc5",2.0108799902324,2.7419482405525,2.86448493910577,NA,2.04109645489262,NA,2.54183047857125,2.57934175304331,1.10858144491679,1.5990970183631,1.70354781201521,3.53906211620533,2.02152999620982,1.92482683116404
"Q8C3X4","Guf1",4.45495542912402,4.39460637873756,5.24402058363552,3.92326158282279,5.13376957732271,4.86271474855458,4.34747303729038,3.66291563593452,1.77814379642976,2.92748318438565,NA,3.14870791992572,3.26969608731583,NA
"Q8C4Y3","Nelfb",1.75603674159715,2.51803996898075,1.16585219248646,0.492403590843549,1.07326436879417,0.92954424224137,1.8087613534211,0.338462884611182,0.456871514987801,0.458102858271801,1.49057789416509,1.28836053748054,NA,NA
"Q8C5Q4","Grsf1",1.97555371024946,1.84574445825466,0.63975174454,NA,1.97904682434492,1.57045988989943,1.58935467714422,2.48545643175904,NA,0.606558486222588,5.17619267626499,1.99093469206667,1.0895867341638,NA
"Q8C5W0","Clmn",2.60156050490959,2.53910433470929,2.12620934410959,2.13130614735746,2.35525055928732,1.35986073347427,2.42301118846747,2.41865140878805,0.58696052419056,NA,4.3796359044759,2.59935434239848,3.96799920963292,NA
"Q8C5W3","Tbcel",2.06326427137121,2.346821464341,2.44060254159771,2.70422486813285,2.5908393910206,2.81476685761438,2.0093849174625,2.42523421778329,NA,NA,0.949013799451464,1.0375116200229,0.717208816959,-0.0119741716779427
"Q8C6B0","Mettl7a1",2.2855267217109,2.42281554722296,2.36363455729009,2.21301830380362,2.21807518418586,2.24604723929641,2.46255460166185,1.85442582049182,1.24557575720069,0.893447809008363,1.28678410247374,NA,1.98690386706234,3.00812153860429
"Q8CAY6","Acat2",3.57481149309947,3.17469713351141,3.57143494445313,3.39107646482842,3.46299422148179,3.40873684442256,3.34334319487174,3.26157077129082,2.07679203403639,1.10827642367036,NA,0.659754330755301,NA,0.414082315738157
"Q8CBF3","Ephb1",2.70406693440879,3.47426091511732,3.55935940773423,3.37274288874933,3.0129351945328,2.27450864624235,0.409753410324053,3.04225729571584,3.68572371185996,NA,NA,1.05204003368729,0.90879213075672,5.23201023537027
"Q8CC86","Naprt",1.98646539111707,3.76904156588923,2.31658197614011,3.04590033221339,1.92960508904263,1.9691085314847,2.51764258700531,1.89685279669085,1.91275675426001,2.68981721591542,2.86616469622136,NA,3.27464750542156,NA
"Q8CCM6","Timm21",2.66290781637327,3.23647999357764,4.06227664766991,2.35547743284559,3.7815094889497,2.45677315350016,3.00377732792957,3.57133405871745,NA,1.25176527356281,0.975069648723103,2.3174017825079,3.18933872406418,NA
"Q8CFI7","Polr2b",1.12369742745285,2.1531320450801,1.00380985494194,1.04426126021066,0.668340609777999,1.28666038196218,2.05753672613517,1.0154228359667,NA,0.285721971369265,0.973912803772058,0.685507637452024,1.25392228077174,NA
"Q8CGA3","Slc43a2",3.27424191067509,3.10418480229673,2.24502071992913,2.38892906348067,2.14678551482923,3.59109523525678,2.24278519277318,2.77758014310647,4.82164933329908,2.68637587588998,2.44144904550375,NA,3.76444731018689,NA
"Q8CI33","Cwf19l1",0.23499143909318,3.13484458148421,1.76127517307417,1.26077251230986,2.91975383419381,0.5914177629559,2.87302256155065,1.32886623773169,0.512382969192369,0.895418421083547,2.39174953588443,1.58943366396673,NA,NA
"Q8CJ53","Trip10",0.179743364416398,NA,1.74321169579837,0.720927798901973,0.765977808133485,1.79571920410405,0.779103005428865,1.29727130613921,0.886114431645101,0.829985353530427,2.22074821539172,2.35945610789965,1.67278037264655,NA
"Q8JZN7","Rhot2",1.59216019697572,1.97141001895338,2.07202887439261,1.8364947754244,1.60616215530423,1.83239465144793,2.20062054806513,1.83671834605784,NA,0.84711558690352,1.39305709640334,2.82798702803391,1.50662301657311,NA
"Q8K0D5","Gfm1",2.2664594595197,2.2990069352165,2.32665321678928,2.04588172697494,2.1392857030191,2.34004866988454,1.98952745107547,2.00287394611831,0.471058300235575,0.487676792138314,NA,1.08911780923335,1.73189300135006,NA
"Q8K1B8","Fermt3",NA,NA,1.62374152473383,2.72663449806255,2.77209770800467,2.26297874660033,2.83139443046848,2.68285551929426,1.9919262647188,1.12829734030371,1.12555817485168,0.844739554598828,0.454450700041957,1.53694097631081
"Q8K1X1","Wdr11",3.03762544593254,2.9773916985761,1.90546890667704,1.82629660519369,1.91755688405487,2.22741382009713,1.26963666121368,2.80194334154218,0.708978105240884,NA,1.10697077601782,1.65811536897164,1.44569608295526,NA
"Q8K211","Slc31a1",5.9057391749235,4.44749360577848,6.12167741278683,4.81812838619952,2.61441547062454,6.14048479707324,6.15238728560116,5.57214649344466,NA,0.787937855906211,4.95389462837091,5.23177395945106,5.66406955371621,NA
"Q8K2D3","Edc3",1.70226481313749,1.36260876998968,-0.762743447569022,NA,2.25886137292858,1.99482909083462,2.79555163471052,NA,2.9187653080131,3.97358601094694,1.14317078515005,3.3070929620468,4.52081965444355,1.59779995823867
"Q8K2F0","Brd3",0.382053799566749,1.24674900225346,0.167114880246891,2.93085433756023,1.46261761830461,1.45121341487464,2.91683400761995,NA,NA,1.25172609180615,1.32294322831006,0.975660157601615,1.5612726580281,1.48609821317377
"Q8K2Q7","Brox",1.54884056077756,1.53896336619407,1.69330986475684,1.47194848422117,1.53414174443902,1.46422703592056,0.467005480248608,0.924015598832052,NA,0.781780396911322,0.421896830926247,0.585130128019466,1.07242122646505,NA
"Q8K2T4","Uqcc3",0.938322363662633,3.37351574580081,2.33445674383319,2.01648133569656,2.30740988959511,2.97977336705646,2.98988288886114,2.18635539294649,NA,1.11566618488574,0.0424310679702042,0.847763903367737,1.26364169629817,NA
"Q8K330","Ssh3",0.553456624087854,NA,3.89686842892369,4.47537354077754,4.26084840255991,3.12694630627189,4.22452284503221,4.33060296365334,4.43938297972587,4.17842530515296,4.20220822764052,1.36026294406566,0.578658099750811,NA
"Q8K337","Inpp5b",1.20146598062004,3.31509402396484,2.23226937451521,1.99628029171754,2.14638946303828,2.02246730725101,1.89576315725543,1.77401791416397,0.413771030430555,0.570050924634794,1.14045564492711,2.7266626129044,NA,NA
