"Proteins","Genes","Pro_Cerebellum","Pro_Frontal_Cortex","Pro_Heart","Pro_Kidney","Pro_Liver","Pro_Lung","Pro_Spleen","Pro_Amygdala","Pro_Entorhinal_Cortex","Pro_Gut","Pro_Olfactory_Bulb","Pro_Striatum","Pro_Thalamus","Pro_Substantia_Nigra"
"Q9D7G0","Prps1",7.87438566263506,8.20372228201579,6.34600574416468,6.9298005651833,7.46053804724491,6.38789242439956,7.13820435670565,8.44700151163824,8.31868747802788,5.77708420003385,8.25579600974902,8.04790585449003,8.58549277626189,8.4523051782245
"Q9D7I5","Lhpp",3.86301068263506,4.36916748201579,3.19964190416468,2.3244693651833,6.08593758724491,2.75307175439956,3.76337673670565,4.73005231163824,4.95139195802788,5.94735605003385,4.96462823974902,5.22259831449003,4.77044972626189,4.7174238482245
"Q9D7J4","Cox20",5.05936861263506,4.37608027201579,6.78583337416468,6.8330834751833,5.53091983724491,3.69049257439956,3.31080583670565,4.93398698163824,4.72442552802788,6.45229355003385,5.25943287974902,4.80784917449003,4.87214255626189,4.9964887482245
"Q9D7J9","Echdc3",3.15383727263506,2.27337156201579,5.65539640416468,6.8399631651833,7.13511786724491,3.89578331439956,-2.26945812629435,0.274231231638238,0.719561978027879,2.50944800003385,0.650520819749021,0.539222764490032,2.11849285626189,2.2697903382245
"Q9D7K5","Dmac2",0.382999192635056,0.42502341201579,-4.02344389883532,1.8575131451833,-1.46801459275509,NA,0.149781626705653,1.40572361163824,0.99893985802788,0.969357380033851,1.14402709974902,1.89807546449003,1.20146177626189,1.0575761082245
"Q9D7L8","Tmigd1",NA,NA,NA,4.8154015751833,NA,NA,NA,NA,NA,5.31849432003385,NA,NA,NA,NA
"Q9D7M1","Gid8",5.00049955263506,5.16122082201579,0.802464054164678,4.0918517251833,4.40068299724491,3.50396538439956,4.51524782670565,5.13563077163824,5.31124120802788,4.71163327003385,5.09315801974902,4.96126665449003,4.72430617626189,4.6780362682245
"Q9D7M8","Polr2d",3.74769385263506,3.56312129201579,1.21357494416468,3.3556899551833,2.80724611724491,3.10547591439956,4.74384682670565,3.04728519163824,3.07183088802788,4.64027940003385,3.70332849974902,2.59992462449003,2.74492091626189,2.5182442282245
"Q9D7N6","Mrpl30",5.10875860263506,4.83433563201579,4.19387661416468,5.5062397651833,3.90916938724491,0.870908924399559,3.01514864670565,5.48007897163824,5.84039099802788,5.10201370003385,5.28129983974902,5.22151933449003,5.55984486626189,5.8249572282245
"Q9D7N9","Apmap",5.93001796263506,5.98892459201579,3.79413408416468,6.3296537951833,6.03436307724491,5.63972412439956,5.36582699670565,6.21292982163824,6.16615566802788,5.84777220003385,6.29334133974902,6.00909500449003,6.15313849626189,6.1307359382245
"Q9D7P6","Iscu",6.48250877263506,6.13680859201579,5.14200877416468,6.8826709751833,5.64226825724491,3.76023070439956,4.29491379670565,6.24727976163824,6.08492937802788,4.92047761003385,5.85337362974902,5.84310813449003,6.41641648626189,6.4933646482245
"Q9D7S7","Rpl22l1",5.16737733263506,5.12134691201579,2.54083618416468,3.7821083851833,5.51707467724491,3.64218103439956,4.99839921670565,6.09795009163824,5.43370558802788,6.98586184003385,5.10702191974902,4.90042972449003,6.14525469626189,5.4753266882245
"Q9D7S9","Chmp5",6.83950303263506,6.72195541201579,5.19808965416468,6.4157506851833,5.37266289724491,5.91613815439956,5.80639470670565,6.48837713163824,6.40906951802788,6.58938294003385,6.69215217974902,6.27074231449003,6.71736665626189,6.72745080822451
